BOYONG,ZONE,-7.625.888,110.419.754
KALIURANG TIMUR,ZONE,-7.598.678,110.431.037
KALIURANG BARAT,ZONE,-7.599.114,110.423.384
NGANDONG TRITIS,ZONE,-7.591.988,110.410.485
NGANGGRING (SIDOREJO),ZONE,-7.601.246,110.398.982
TUNGGULARUM,ZONE,-76.205.973,1.103.827.906
MANGGUNGSARI,ZONE,-7.617.273,110.386.546
SEMPU,ZONE,-7.612.973,110.375.863
SRUNEN,ZONE,-7.591.341,110.456.382
SINGLAR,ZONE,-7.614.207,110.460.301
GADING,ZONE,-7.622.345,110.463.626
KALITENGAH KIDUL,ZONE,-7.584.843,110.457.875
KALITENGAH LOR,ZONE,-7.576.692,110.454.552
TURGO,ZONE,-7.587.785,110.419.431
NGEPRING,ZONE,-760.337,110.415.116
NGELOSARI,ZONE,-7.625.937,110.406.301
KEMIRI,ZONE,-761.728,110.413.272
GONDOARUM,ZONE,-7.605.499,110.387.858
TAWANGREJO,ZONE,-7.631.954,110.402.135
PALEMSARI,ZONE,-7.596.247,110.441.457
PANGUKREJO,ZONE,-7.602.987,110.437.944
BALONG,ZONE,-7.617.292,110.435.494
GONDANG,ZONE,-7.619.035,110.441.359
GAMBRETAN, GROGOL, BENDO,ZONE,-7.616.845.147,1.104.313.687
PLOSOKEREP, GENENGSARI, DAN BALONG WETAN,ZONE,-7.631.679.179,1.104.417.549
JAMBU,ZONE,-7.598.747,110.451.955
BATUR,ZONE,-7611981,110.452.923
KEPUH,ZONE,-7.616.097,110.457.138
KOPENG,ZONE,-7.609.967,110.453.961
PAGERJURANG,ZONE,-7.625.476,110.451.314
MANGGONG,ZONE,-7.628.495,110.458.799
KALIADEM,ZONE,-7.587.071.533,1.104.498.796
PETUNG,ZONE,-7.609.082,110.449.359
NGIPIKSARI,ZONE,-7.610.186,110.426.734
NGANDONG,ZONE,-7.591.988,110.410.485
NGANDONG AND TRITIS KULON,ZONE,-7.618.870.816,110.410.485
NGANGGRING,ZONE,-7.601.246,110.398.982
PANCOH,ZONE,-7.633.257.753,1.103.959.963
BANGUN MULYO,ZONE,-7.618.870.816,110.393.279
KEMIRIKEBO,ZONE,-7.607.265.827,1.104.061.265
NANGSRI,ZONE,-7.630.578.578,1.103.926.399
SUKOREJO,ZONE,-7.623.248.904,1.104.045.612
BANJARSARI,ZONE,-76.181.561,1.103.738.652
IMOREJO,ZONE,-76.294.713,1.103.830.123
JAMBUSARI,ZONE,-76.278.015,1.103.777.991
SIDOSARI,ZONE,-76.351.926,1.103.776.337
KEMBANG,ZONE,-76.402.893,1.103.815.612
POJOK,ZONE,-76.425.949,1.103.770.543
KOPEN,ZONE,-763.431,1.103.669.998
DADAPAN,ZONE,-76.464,1.103.681
SANGUREJO,ZONE,-76.505.874,1.103.710.964
KLOPOSAWIT,ZONE,-76.113.163,1.104.001.417
BABADAN,ZONE,-76.173.539,1.103.933.974
GLAGAHOMBO,ZONE,-76.411.873,1.103.926.941
SOMOHITAN,ZONE,-76.357.419,1.103.873.279
SURODADI LOR,ZONE,-76.434.591,1.103.907.867
KARANGGAWANG,ZONE,-7.645.548,1.103.822.676
JETISAN,ZONE,-7.643.722,1.104.195.057
SAWUNGAN,ZONE,-7.638.718,1.104.258.873
PURWOREJO,ZONE,-76.395.424,1.104.256.357
BANTENG,ZONE,-76.210.897,1.104.232.296
PANDANPURO,ZONE,-7.641.732,1.104.174.582
WONOREJO,ZONE,-76.246.974,1.104.150.371
RANDU,ZONE,-76.381.209,1.104.177.354
TANEN,ZONE,-76.270.688,1.104.201.728
BENERAN,ZONE,-7.654.699,1.103.919.493
BUNDER,ZONE,-76.651.141,1.103.889.703
GATEP,ZONE,-76.601.257,1.103.859.913
JAMBLANGAN,ZONE,-77.326.278,1.103.092.853
KARANGGENENG,ZONE,-76.647.283,1.103.837.571
SEMBUNG,ZONE,-76.728.168,1.103.889.703
WATUADEG,ZONE,-76.501.704,1.103.926.941
WRINGIN LOR,ZONE,-76.433.212,1.103.968.196
WRINGIN KIDUL,ZONE,-76.362.949,1.104.008.865
GLAGAH MALANG,ZONE,-76.315.496,1.104.677.606
JETIS SUMUR,ZONE,-76.279.268,1.104.684.617
NGANCAR,ZONE,-76.391.723,1.104.684.188
BESALEN,ZONE,-76.507.678,1.104.672.299
GAMBRETAN,ZONE,-76.245.961,1.104.331.827
PLOSOREJO,ZONE,-7.626.472,110.438.329
PENTINGSARI,ZONE,-76.430.482,1.104.296.004
SMK HAMONG PUTERA,SHELTER,-76.672.812,1.104.121.577
SMPN 3 PAKEM,SHELTER,-76.689.045,1.104.121.195
AULA KALURAHAN PAKEMBINANGUN,SHELTER,-7.598.801.900.000.000,1.104.263.604
SMAN 1 PAKEM,SHELTER,-7.658.548.300.000.000,1.104.219.954
SDN PAKEM 1,SHELTER,-76.594.124,1.104.218.964
SMP MUHAMMADIYAH PAKEM,SHELTER,-76.604.277,1.104.226.281
GOR GAMBIRAN (TEMPAT PARKIR),SHELTER,-7,661908,110,425615
AULA SMAN 1 PAKEM(TEMPAT PARKIR),SHELTER,-7.658.500,110,422084
SMPN 1 PAKEM,SHELTER,-7,65950453,110,4226602
SLB NEGERI PAKEM,SHELTER,-7,664002365,110,4243336
SD MUHAMMADIYAH PAKEM,SHELTER,-7,659880498,110,4227784
KANDANG TERNAK TIMUR SLB PAKEM,SHELTER,-7,631009,110,425222
KANDANG KUDA PADUKUHAN RANDU,SHELTER,-7,762383014,110,4849887
KANDANG KELOMPOK BELAKANG ACT,SHELTER,-7,640702558,110,4110961
KANDANG KOMUNAL SAMBIREJO,SHELTER,-7.598.801.900.000.000,1.104.263.604
BARAK PENGUNGSIAN PANDANPURO,SHELTER,-7,64054332,110,4162382
KANDANG KUDA PADUKUHAN RANDU,SHELTER,-7,762383014,110,4849887
KANDANG KELOMPOK BELAKANG ACT,SHELTER,-7,640702558,110,4110961
KANDANG KOMUNAL SAMBIREJO,SHELTER,-7.598.801.900.000.000,1.104.263.604
AULA ACT,SHELTER,-7,640702558,110,4110961
BALAI DIKLAT PERTANIAN, POTROWANGSAN, CANDIBINANGUN,SHELTER,-7,637062988,110,4084787
12 RUMAH WARGA DI PANDANPURO,SHELTER,-7,641551224,110,4178552
BARAK RANDU,SHELTER,-7,762383014,110,4849887
BARAK TERNAK ACT GONDANGLEGI,SHELTER,-7,640702558,110,4110961
SMK MUHAMMADIYAH PAKEM,SHELTER,-76.634.817,1.104.142.619
SMA ISLAM 3 PAKEM,SHELTER,-76.635.918,1.104.171.609
MTS YAPI PAKEM,SHELTER,-7.664.993.399.999.990,1.104.167.189
SMA MUHAMMADIYAH PAKEM,SHELTER,-76.601.748,1.104.176.438
SMK KANISIUS 1 PAKEM,SHELTER,-76.645.337,1.104.164.609
SD NEGERI PARAKSARI PAKEM,SHELTER,-76.594.124,1.104.218.964
BALAI KALURAHAN HARJOBINANGUN,SHELTER,-7.616.542.199.999.990,1.104.113.132
ASRAMA MAN 4 SLEMAN/KAMPUS II,SHELTER,-7,670702,110,411005
MAN 4 PAKEM,SHELTER,-7,665827335,110,4123807
SDN PAKEM 2,SHELTER,-7,670042372,110,411452
PARKIR KENDARAAN DI LAP. GAMBIRAN,SHELTER,-7,658122263,110,4222957
BARAK KALURAHAN HARGOBINANGUN,SHELTER,-7,668197998,110,4139771
SD NEGERI PANDANPURO I,SHELTER,-7,642041,110.416.000
KAMPUS 2 MAN 4 SLEMAN (ASRAMA),SHELTER,-7,670702,110,411005
SD NEGERI 2 PAKEM (POJOK),SHELTER,-7,670084903,110,4118919
SMP NEGERI 3 PAKEM,SHELTER,-7,66870247,110,4134284
BARAK UTAMA PURWOBINANGUN (UNTUK TURGO),SHELTER,-7,679249238,110,4514522
SD TAWANGHARJO (UNTUK TURGO),SHELTER,-7,648081994,110,3932248
BALAI KALURAHAN PURWOBINANGUN,SHELTER,-7,648399497,110,3947112
BARAK TERNAK, RELOKASI SUDIMORO,SHELTER,-7,634958054,110,3997428
POSKO KEMANUSIAAN ROMO YATNO,SHELTER,-7,656693265,110,3957015
MTS NEGERI PAKEM,SHELTER,-7,658807361,110,3913803
MTSN 7 SLEMAN (CEPET),SHELTER,-7,658580198,110,392088
KARANG ASRI,SHELTER,-7,662987524,110,3819882
SD IBNU ABAS,SHELTER,-7,66412556,110,3809675
SHABA,SHELTER,-7,664441681,110,3813822
TB2P2BPTH/KANTOR KEHUTANAN,SHELTER,-7,662692866,110,3823587
TKD SEBELAH BARAT TK CANDI DI SELATAN KARANGGENENG,SHELTER,-7,664392535,110,384351
BALAI BESAR PENELITIAN BIOTEKNOLOGI DAN PEMULIAAN TANAMAN HUTAN,SHELTER,-7,670357566,110,3920959
SD SROWOLAN,SHELTER,-7,671358604,110,3891001
PONDOK PESANTREN / SEKOLAH DARUL HIKMAH,SHELTER,-7,673052768,110,3911693
KELOMPOK TERNAK CANDI,SHELTER,-7,669631484,110,4429783
BARAK TIMUR,SHELTER,-7.649.508.000.000.000,1.103.942.517
POSKO KEMANUSIAAN ROMO YATNO, JAMBLANGAN,SHELTER,-7,656693265,110,3957015
BARAK KALURAHAN WONOKERTO,SHELTER,-7,62048091,110,3833421
SD N NGANGGRUNG,SHELTER,-7,625698849,110,3839763
SD N BANYUURIP 1,SHELTER,-7,629353187,110,3793655
TK ABA WONOKERTO,SHELTER,-7,625582949,110,3833767
PENDOPO DESA WISATA PULESARI,SHELTER,-7,625771662,110,3721132
GEDUNG SERBAGUNA DUSUN ARJOSARI,SHELTER,-7,626081612,110,3747826
DESA WISATA JAKA GARONG (CAMPING GROUND),SHELTER,-7,638918392,110,3832982
GEDUNG SERBAGUNA PADUKUHAN KEMBANG,SHELTER,-7,634551255,110,3843329
BARAK TERNAK, LAPANGAN PUNTUK,SHELTER,-7,636781722,110,3741411
PENDOPO JAKAGARONG,SHELTER,-7,638833323,110,3834806
BARAK PENGUNGSIAN BANGUNKERTO,SHELTER,-7,652690995,110,3574065
PENDOPO DUSUN WISATA KELOR,SHELTER,-7,640824253,110,3629994
AULA BALAI BENIH IKAN SEMPU,SHELTER,-76.149.429,1.103.747.969
PENDOPO DESA WISATA PULEWULUNG,SHELTER,-7,625538119,110,3698397
PENDOPO DESA WISATA PLOSOKUNING,SHELTER,-7,627027989,110,3640701
BARAK UTAMA GIRIKERTO,SHELTER,-7,620754423,110,3992945
BARAK KALURAHAN,SHELTER,-7,91777009,110,7864077
PANTI PAROKI GEREJA SOMOITAN,SHELTER,-7,635593023,110,3880145
SD SOPRAYAN,SHELTER,-7,624268013,110,3908556
SMP 3 TURI (KHUSUS LANSIA DAN IBU HAMIL KRB 3 DAN 2),SHELTER,-7,624496655,110,3914153
BARAK PENGUNGSIAN KALURAHAN GIRIKERTO,SHELTER,-7,625145321,110,3905838
LAPANGAN NGEMPLONG,SHELTER,-7,738451741,110,3829247
SMP GIRIKERTO,SHELTER,-7,624454119,110,3915333
LAPANGAN SMP 3 TURI,SHELTER,-7,624496655,110,3914153
BARAK TANGGUNG,SHELTER,-7.611.993.900.000.000,1.103.993.969
SD SOMOETAN,SHELTER,-7,629459219,110,3960405
BALAI KALURAHAN GLAGAHARJO,SHELTER,-7,64771,110,46793
GEDUNG PNPM UTARA,SHELTER,-7,644426621,110,4571786
GEDUNG PNPM SELATAN,SHELTER,-7,644426621,110,4571786
LAPANGAN GLAGAHARJO,SHELTER,-7,64765,110,46792
SDM CEPITSARI,SHELTER,-7,64819,110,46805
PANTI ASUHAN AL HIKMAH,SHELTER,-7,6473,110,46704
BARAK GAYAM,SHELTER,-7,66005,110,4699
SD BRONGGANG,SHELTER,-7,6599,110,4699
SMP SUNAN KALIJAGA,SHELTER,-7,65971,110,47045
BARAK KORIPAN,SHELTER,-7,69753,110,48167
SD N PENCAR 2,SHELTER,-7,68351,110,47486
SDN TAMANMARTANI,SHELTER,-7,73624,110,48564
SD N BANARAN,SHELTER,-7,66801,110,4731
SMP 4 KALASAN,SHELTER,-7,739076686,110,4745724
BALAI KALURAHAN TAMANMARTANI,SHELTER,-7,73558969,110,4840475
SD N KEJAMBON 1,SHELTER,-7,69103,110,47599
SD N KEJAMBON 2,SHELTER,-7,69384,110,48079
SMP MUHAMMADIYAH BIMOMARTANI,SHELTER,-7,682391039,110,4588067
SMP TAMAN DEWASA,SHELTER,-7,681739241,110,45806
LAPANGAN BANJARHARJO,SHELTER,-7,682334664,110,4571373
BALAI DESA WUKIRSARI,SHELTER,-7,909227212,110,3944942
SD KIYARAN 1,SHELTER,-7,657872765,110,4409664
SMK 1 CANGKRINGAN,SHELTER,-7,662571464,110,4410768
PANTI SOSIAL BIMOMARTANI,SHELTER,-7,681676031,110,4603229
SMKN CANGKRINGAN,SHELTER,-7,662481664,110,4412916
SMPN 1 CANGKRINGAN,SHELTER,-7,649264127,110,4439902
SD WATUADEG,SHELTER,-7,648535394,110,444307
BARAK KIYARAN WUKIRSARI,SHELTER,-7,658326365,110,4407428
BARAK BIMORTANI,SHELTER,-7,682318814,110,4591895
SMAN 1 NGEMPLAK,SHELTER,-7,699662852,110,4618096
BARAK RANDUSARI ARGOMULYO,SHELTER,-7,677660866,110,4497667
SD NEGERI NJATEN NGEMPLAK,SHELTER,-7,682082876,110,4580272
BARAK BRAYUT KALURAHAN WUKIRSARI CANGKRINGAN,SHELTER,-7,653451,110,432699
SMAN 1 CANGKRINGAN (BEDOYO),SHELTER,-7,649649561,110,4337956
PONPES ALQODIR (INDUK),SHELTER,-7,653377995,110,4363152
PONPES ALQODIR KEDUNG,SHELTER,-7,653324695,110,4446095
SMP TAMAN DEWASA CANGKRINGAN,SHELTER,-7,624907949,110,4360406
GEDUNG SERBAGUNA UMBULHARJO (PLOSOREJO),SHELTER,-7,814761427,110,3927506
SDN UMBULHARJO,SHELTER,-7,825022303,110,3881196
BARAK PLOSOKEREP KALURAHAN UMBULHARJO CANGKRINGAN,SHELTER,-7,639239,110,445632
GEDUNG RW HUNTAP PLOSOKEREP,SHELTER,-7,636156654,110,4471301
RUMAH WARGA HUNTAP PLOSOKEREP,SHELTER,-7,636156654,110,4471301
TK ABA PLOSOKEREP,SHELTER,-7,872672934,110,5409928
BARAK UMBULMARTANI NGEMPLAK,SHELTER,-7,683399,110,435047
GOR UMBULMARTANI NGEMPLAK,SHELTER,-7,686634043,110,4099412
SD N UMBULWIDODO,SHELTER,-7,684238775,110,4375455
SD UMBULHARJO 2,SHELTER,-7,619268983,110,4339557
SD AL QODIR,SHELTER,-7,653403366,110,4441869
TAMAN DEWASA PLOSOREJO,SHELTER,-7.625.109.999.999.990,11.043.559
KANDANG KOMUNAL PLOSOKEREP,SHELTER,-7,636146021,110,4461323
KANDANG KOMUNAL HUNTAP PLOSOKEREP,SHELTER,-7,636146021,110,4461323
KANDANG KOMUNAL SEMESTA PLOSOKEREP,SHELTER,-7,636146021,110,4461323
KANDANG KOPERASI SEMESTA PLOSOKEREP,SHELTER,-7,636146021,110,4461323
KANDANG TERNAK REST AREA GAMBRETAN,SHELTER,-7.685.463.599.999.990,1.104.389.976
KANDANG KAMBING PAK DANI BALONG WETAN,SHELTER,-7.622.177.400.000.000,1.104.356.878
PADUKUHAN PAKEMGEDE DUSUN GAMBARIN (BARAK TERNAK),SHELTER,-7.665.162.099.999.990,1.104.206.229
PADUKUHAN PARAKSARI (BARAK TERNAK),SHELTER,-7.611.993.900.000.000,1.103.993.969
SD NEGERI 2 PANDANPURO,SHELTER,-7.602.227.999.999.990,1.104.282.143
GEDUNG BALAI LATIHAN KERJA (UNTUK NGELOSARI),SHELTER,-7.667.305.000.000.000,110.392.244
BARAK TIMUR (UNTUK KELOMPOK RENTAN),SHELTER,-7.717.988.600.000.000,1.103.553.689
BARAK PENGUNGSI, WATUADEG, PURWOBINANGUN,SHELTER,-7.649.508.000.000.000,1.103.942.517
BARAK SOPRAYAN, GIRIKERTO,SHELTER,-7.625.262.299.999.990,1.103.902.619
BARAK TANGGUNG, GIRIKERTO,SHELTER,-7.611.993.900.000.000,1.103.993.969
AULA BALAI DESA GIRIKERTO,SHELTER,-7.624.371,1.103.911.353
RS GRHASIA,SHELTER,-76.618.581,1.104.214.754
SLB PAKEM (GAMBIRAN),SHELTER,-76.641.087,1.104.239.152
DISASTER OASIS,SHELTER,-7.630.187.100.000.000,1.104.247.655
TEA HUNTAP, PLOSOKEREP, UMBULHARJO,SHELTER,-7.675.468.599.999.990,1.104.489.071
